#seqid	description	orientation	amoa log odds	pmoa log odds	bg log odds	label
KDAE0088	 noise	-	-1420.8027	 -926.7917	 -787.3407	bg
EPAU0052	 noise	-	-1510.2682	-1020.1169	 -880.1175	bg
KDAE0087	 noise	+	-1573.5891	-1126.7778	 -905.5211	bg
EPAU0050	 noise	+	-1461.0647	 -943.9252	 -771.6465	bg
EPAU0056	 noise	+	-1595.7893	-1059.3312	 -845.9451	bg
RPAX0079	 noise	+	-1354.0346	-1009.1629	 -798.3093	bg
EPAU0054	 noise	-	-1265.0493	 -837.1589	 -712.4085	bg
EPAU0055	 noise	+	-1309.9386	 -866.5616	 -692.1276	bg
KDAC0023	 noise	-	-1438.4945	 -956.5277	 -799.8820	bg
RPAX0075	 noise	-	-1342.7845	 -930.6676	 -783.9795	bg
RPAX0076	 noise	+	-1443.6701	 -972.8573	 -789.0407	bg
KDAC0020	 noise	+	-1455.0951	 -928.0788	 -760.9500	bg
KDAC0027	 noise	-	-1286.3072	 -872.7827	 -754.8741	bg
KDAE0085	 noise	-	-1561.8846	-1006.7109	 -823.2647	bg
RPAX0072	 noise	+	-1382.0767	 -912.3945	 -756.2801	bg
ESAJ0034	 noise	+	 -508.4132	 -308.6997	 -242.3428	bg
ISAZ57	 noise	-	-1302.1971	 -802.7156	 -709.1297	bg
ISAZ52	 noise	-	-1554.4354	-1042.4882	 -836.0471	bg
ISAZ53	 noise	+	-1287.1000	 -920.8690	 -742.7379	bg
ISAZ58	 noise	-	-1470.5236	 -961.1024	 -785.6905	bg
ISAZ59	 noise	-	-1389.0134	 -923.5587	 -755.4803	bg
KDAE0059	 noise	-	-1246.8963	 -871.4669	 -694.9766	bg
KSAG0035	 noise	+	-1408.0493	 -942.4437	 -767.9505	bg
KSAG0034	 noise	+	-1520.8595	 -992.3888	 -804.6554	bg
KDAE0050	 noise	-	-1193.5144	 -810.7032	 -671.5602	bg
KDAE0051	 noise	-	-1108.6314	 -695.8281	 -570.4480	bg
KDAE0052	 noise	+	-1395.9984	 -942.6929	 -795.4037	bg
KDAE0053	 noise	+	-1430.4042	 -935.4056	 -785.1991	bg
KDAE0054	 noise	+	-1382.1127	 -915.2015	 -775.0415	bg
KDAE0055	 noise	-	-1528.1241	 -953.9063	 -838.6255	bg
KDAE0056	 noise	+	-1202.2470	 -763.4866	 -620.7312	bg
KDAE0057	 noise	+	-1436.9189	 -937.8203	 -760.2916	bg
ISBA82	 noise	-	-1199.5946	 -846.1885	 -719.3767	bg
ESAJ0032	 noise	-	-1609.0596	-1051.8677	 -861.2605	bg
EPAS0049	 noise	-	-1255.3764	 -881.4705	 -718.7815	bg
ESAI0076	 noise	+	-1541.8813	-1036.8578	 -817.8280	bg
ESAS0016	 noise	-	-1679.3954	-1075.4930	 -860.3021	bg
RCAY0018	 noise	-	-1236.9312	 -823.8182	 -670.7603	bg
RCAY0010	 noise	-	-1401.4024	 -989.6032	 -859.5941	bg
RCAY0012	 noise	-	-1425.9310	 -911.9962	 -759.0529	bg
RCAY0014	 noise	+	-1503.5399	-1019.3387	 -813.3893	bg
ECAM0060	 noise	+	-1454.9486	 -912.9326	 -812.0825	bg
K8AH0077	 noise	-	-1341.9113	 -916.5546	 -750.8823	bg
K8AH0076	 noise	-	-1326.7983	-1020.7418	 -876.5854	bg
K8AH0075	 noise	-	 -672.6633	 -395.1722	 -307.7136	bg
K8AH0074	 noise	-	-1234.9062	 -722.6117	 -559.4391	bg
K8AH0073	 noise	-	-1557.9716	-1068.1861	 -852.9146	bg
K8AH0072	 noise	+	-1479.0790	 -973.8596	 -783.4536	bg
RPAX0078	 noise	+	-1481.0922	 -998.2872	 -815.0591	bg
EPAS0063	 noise	-	-1444.4109	 -987.4485	 -837.9850	bg
K8AH0079	 noise	-	-1078.0999	 -705.1291	 -573.2129	bg
K8AH0078	 noise	-	-1619.9979	-1094.5950	 -919.1594	bg
KDAJ0009	 noise	-	-1416.8718	 -945.7008	 -778.3546	bg
